wd_id,line_id,linewd,word,lex_id,tag,textlineid,syntag,syntag2,syllabified,lemma,ref
1,1,1,la,la,DET:def,2762,Det,Det,C/V\,le,"AlexPar, branch II, v. 2762"
2,1,2,bataille,bataille,NOM,2762,N,N,C/V\.'C/V\.C/(e)\,bataille,"AlexPar, branch II, v. 2762"
3,1,3,est,est,VER,2762,Vfin,Vfin,/V\,être,"AlexPar, branch II, v. 2762"
4,1,4,jostee,jostee,VER,2762,Vpp,Vpp,C/V\.'C/V\./(e)\,jouter,"AlexPar, branch II, v. 2762"
5,1,5,des,des,PREDET:de,2762,Pre+Det,Pre+Det,C/V\,de.le,"AlexPar, branch II, v. 2762"
6,1,6,grigeis,grigeis,NOM,2762,Adj,Adj,C/V\.'C/V\,grégeois,"AlexPar, branch II, v. 2762"
7,1,7,et,et,CON:coord,2762,Crd,Crd,/V\,et,"AlexPar, branch II, v. 2762"
8,1,8,des,des,PREDET:de,2762,Pre+Det,Pre+Det,C/V\,de.le,"AlexPar, branch II, v. 2762"
9,1,9,lor,lor,PRO:poss,2762,Adj,Adj,C/V\,leur,"AlexPar, branch II, v. 2762"
10,1,10,.,.,PON,2762,Pnc,Pnc,,.,"AlexPar, branch II, v. 2762"
11,2,1,ainsi,ainsi,ADV,2763,Adv,Adv,/V\.'C/V\,ainsi,"AlexPar, branch II, v. 2763"
12,2,2,com,com,CON:subord,2763,Sub,Sub,C/V\,comme,"AlexPar, branch II, v. 2763"
13,2,3,dayres,dayres,NOM,2763,N,N,'C/V\.C/e\,Darius,"AlexPar, branch II, v. 2763"
14,2,4,ot,ot,VER,2763,Vfin,Vfin,/V\,avoir,"AlexPar, branch II, v. 2763"
15,2,5,devisé,devisé,VER,2763,Vpp,Vpp,C/V\.C/V\.'C/V\,deviser,"AlexPar, branch II, v. 2763"
16,2,6,celui,celui,DET:demo,2763,Dem,Dem,C/V\.'C/V\,cil,"AlexPar, branch II, v. 2763"
17,2,7,jor,jor,NOM,2763,N,N,C/V\,jour,"AlexPar, branch II, v. 2763"
18,3,1,sont,sont,VER,2764,Vfin,Vfin,C/V\,être,"AlexPar, branch II, v. 2764"
19,3,2,li,li,DET:def,2764,Det,Det,C/V\,le,"AlexPar, branch II, v. 2764"
20,3,3,curre,curre,NOM,2764,N,N,'C/V\.C/(e)\,curre,"AlexPar, branch II, v. 2764"
21,3,4,meu,meu,VER,2764,Vpp,Vpp,C/(V)\.'/V\,mouvoir,"AlexPar, branch II, v. 2764"
22,3,5,et,et,CON:coord,2764,Crd,Crd,/V\,et,"AlexPar, branch II, v. 2764"
23,3,6,courent,courent,VER,2764,Vfin,Vfin,'C/V\.C/e\,courir,"AlexPar, branch II, v. 2764"
24,3,7,par,par,PRE,2764,Pre,Pre,C/V\,par,"AlexPar, branch II, v. 2764"
25,3,8,l',l',DET:def,2764,Det,Det,C/\,le,"AlexPar, branch II, v. 2764"
26,3,9,estor,estor,NOM,2764,N,N,/V\.'C/V\,estour,"AlexPar, branch II, v. 2764"
27,3,10,;,;,PON,2764,Pnc,Pnc,,;,"AlexPar, branch II, v. 2764"
28,4,1,li,li,DET:def,2765,Det,Det,C/V\,le,"AlexPar, branch II, v. 2765"
29,4,2,olifant,olifant,NOM,2765,N,N,/V\.C/V\.'C/V\,olifant,"AlexPar, branch II, v. 2765"
30,4,3,ques,ques,ADJ,2765,Qux+Prn,Qux+Prn$$,C/e\,que.le,"AlexPar, branch II, v. 2765"
31,4,4,mainent,mainent,VER,2765,Vfin,Vfin,'C/V\.C/e\,mener,"AlexPar, branch II, v. 2765"
32,4,5,vont,vont,VER,2765,Vfin,Vfin,C/V\,aller,"AlexPar, branch II, v. 2765"
33,4,6,de,de,PRE,2765,Pre,Pre,C/(e)\,de,"AlexPar, branch II, v. 2765"
34,4,7,si,si,DET:poss,2765,Adv,Adv,C/V\,si,"AlexPar, branch II, v. 2765"
35,4,8,grant,grant,ADJ,2765,Adj,Adj,C/V\,grand,"AlexPar, branch II, v. 2765"
36,4,9,fieror,fieror,NOM,2765,N,N,C/V\.'C/V\,fiereur,"AlexPar, branch II, v. 2765"
37,5,1,que,que,PROCON,2766,Sub,Sub,C/(e)\,que,"AlexPar, branch II, v. 2766"
38,5,2,nus,nus,PRO:ind,2766,QIs,QIs,C/V\,nul,"AlexPar, branch II, v. 2766"
39,5,3,ques,ques,ADJ,2766,Qux+Prn,Qux+Prn$$,C/e\,que.le,"AlexPar, branch II, v. 2766"
40,5,4,encontrast,encontrast,VER,2766,Vfin,Vfin,/V\.C/V\.'C/V\,encontrer,"AlexPar, branch II, v. 2766"
41,5,5,n',n',PRO:clit,2766,Neg,Neg$$,C/\,ne,"AlexPar, branch II, v. 2766"
42,5,6,eust,eust,VER,2766,Vfin,Vfin,/(V)\.'/V\,avoir,"AlexPar, branch II, v. 2766"
43,5,7,vers,vers,PRE,2766,Pre,Pre,C/V\,vers,"AlexPar, branch II, v. 2766"
44,5,8,aus,aus,PREDET:a,2766,Prn,Prn,/V\,eux,"AlexPar, branch II, v. 2766"
45,5,9,vigor,vigor,NOM,2766,N,N,C/V\.'C/V\,vigueur,"AlexPar, branch II, v. 2766"
46,5,10,.,.,PON,2766,Pnc,Pnc,,.,"AlexPar, branch II, v. 2766"
47,6,1,mais,mais,CON:coord,2767,Crd,Crd,C/V\,mais,"AlexPar, branch II, v. 2767"
48,6,2,li,li,DET:def,2767,Det,Det,C/V\,le,"AlexPar, branch II, v. 2767"
49,6,3,grieu,grieu,NOM,2767,Adj,Adj,C/V\,grec,"AlexPar, branch II, v. 2767"
50,6,4,s',s',PRO:pers,2767,Prn,Prn$$,C/\,se,"AlexPar, branch II, v. 2767"
51,6,5,en,en,PRO:clit,2767,Prn,Prn$$,/V\,en,"AlexPar, branch II, v. 2767"
52,6,6,partirent,partirent,VER,2767,Vfin,Vfin,C/V\.'C/V\.C/e\,partir,"AlexPar, branch II, v. 2767"
53,6,7,sagement,sagement,ADV,2767,Adv,Adv,C/V\.C/e\.'C/V\,sagement,"AlexPar, branch II, v. 2767"
54,6,8,sans,sans,PRE,2767,Pre,Pre,C/V\,sans,"AlexPar, branch II, v. 2767"
55,6,9,folor,folor,NOM,2767,N,N,C/V\.'C/V\,foleur,"AlexPar, branch II, v. 2767"
56,6,10,",",",",PON,2767,Pnc,Pnc,,",","AlexPar, branch II, v. 2767"
57,7,1,que,que,PROCON,2768,Crd,Crd,C/(e)\,que,"AlexPar, branch II, v. 2768"
58,7,2,gaires,gaires,ADV,2768,Adv,Adv,'C/V\.C/e\,guère,"AlexPar, branch II, v. 2768"
59,7,3,n',n',PRO:clit,2768,Neg,Neg$$,C/\,ne,"AlexPar, branch II, v. 2768"
60,7,4,i,i,PRO:clit,2768,Prn,Prn$$,/V\,y,"AlexPar, branch II, v. 2768"
61,7,5,perdirent,perdirent,VER,2768,Vfin,Vfin,C/V\.'C/V\.C/e\,perdre,"AlexPar, branch II, v. 2768"
62,7,6,li,li,DET:def,2768,Det,Det,C/V\,le,"AlexPar, branch II, v. 2768"
63,7,7,grant,grant,ADJ,2768,Adj,Adj,C/V\,grand,"AlexPar, branch II, v. 2768"
64,7,8,ne,ne,PRO:clit,2768,Crd,Crd,C/(e)\,ne,"AlexPar, branch II, v. 2768"
65,7,9,li,li,PRO:pers,2768,Det,Det,C/V\,le,"AlexPar, branch II, v. 2768"
66,7,10,mener,mener,VER,2768,Adj,Adj,C/V\.'C/V\,mineur,"AlexPar, branch II, v. 2768"
67,7,11,;,;,PON,2768,Pnc,Pnc,,;,"AlexPar, branch II, v. 2768"
68,8,1,et,et,CON:coord,2769,Crd,Crd,/V\,et,"AlexPar, branch II, v. 2769"
69,8,2,qant,qant,ADV,2769,Sub,Sub,C/V\,quand,"AlexPar, branch II, v. 2769"
70,8,3,il,il,PRO:pers,2769,Prn,Prn$,/V\,il,"AlexPar, branch II, v. 2769"
71,8,4,furent,furent,VER,2769,Vfin,Vfin,'C/V\.C/e\,être,"AlexPar, branch II, v. 2769"
72,8,5,outre,outre,ADV,2769,PrA,PrA,'/V\.C/(e)\,outre,"AlexPar, branch II, v. 2769"
73,8,6,",",",",PON,2769,Pnc,Pnc,,",","AlexPar, branch II, v. 2769"
74,8,7,n',n',PRO:clit,2769,Neg,Neg$$,C/\,ne,"AlexPar, branch II, v. 2769"
75,8,8,eurent,eurent,VER,2769,Vfin,Vfin,'/V\.C/e\,avoir,"AlexPar, branch II, v. 2769"
76,8,9,tant,tant,ADV,2769,QIs,QIs,C/V\,tant,"AlexPar, branch II, v. 2769"
77,8,10,de,de,PRE,2769,Pre,Pre,C/(e)\,de,"AlexPar, branch II, v. 2769"
78,8,11,laisser,laisser,VER,2769,Vinf,Vinf,C/V\.'C/V\,laisser,"AlexPar, branch II, v. 2769"
79,9,1,c',c',PROCON,2770,Sub,Sub,C/\,que,"AlexPar, branch II, v. 2770"
80,9,2,onques,onques,ADV,2770,Adv,Adv,'/V\.C/e\,onques,"AlexPar, branch II, v. 2770"
81,9,3,en,en,PRE,2770,Pre,Pre,/V\,en,"AlexPar, branch II, v. 2770"
82,9,4,la,la,DET:def,2770,Det,Det,C/V\,le,"AlexPar, branch II, v. 2770"
83,9,5,bataille,bataille,NOM,2770,N,N,C/V\.'C/V\.C/(e)\,bataille,"AlexPar, branch II, v. 2770"
84,9,6,repreissent,repreissent,VER,2770,Vfin,Vfin,C/V\.C/(V)\.'/V\.C/e\,reprendre,"AlexPar, branch II, v. 2770"
85,9,7,puis,puis,ADV,2770,PrA,PrA,C/V\,puis,"AlexPar, branch II, v. 2770"
86,9,8,tor,tor,NOM,2770,N,N,C/V\,tour,"AlexPar, branch II, v. 2770"
87,9,9,",",",",PON,2770,Pnc,Pnc,,",","AlexPar, branch II, v. 2770"
88,10,1,car,car,CON:coord,2771,Crd,Crd,C/V\,car,"AlexPar, branch II, v. 2771"
89,10,2,li,li,DET:def,2771,Det,Det,C/V\,le,"AlexPar, branch II, v. 2771"
90,10,3,grieu,grieu,NOM,2771,Adj,Adj,C/V\,grec,"AlexPar, branch II, v. 2771"
91,10,4,o,o,PRE,2771,Pre,Pre,/V\,o,"AlexPar, branch II, v. 2771"
92,10,5,les,les,DET:def,2771,Det,Det,C/V\,le,"AlexPar, branch II, v. 2771"
93,10,6,ars,ars,NOM,2771,N,N,/V\,arc,"AlexPar, branch II, v. 2771"
94,10,7,ne,ne,PRO:clit,2771,Neg,Neg$$,C/(e)\,ne,"AlexPar, branch II, v. 2771"
